categoria,descripcion,enlace,precio,precioOferta,precioPrevio,precio_Kg_L_ud,promocion,seccion
Todos los Vinos,"
Vino dulce Pedro Ximenez De Nuestra Tierra D.O. Montilla-Moriles  75 cl.",https://www.carrefour.es/supermercado/vino-dulce-pedro-ximenez-de-nuestra-tierra-d-o-montilla-moriles-75-cl-de-nuestra-tierra/R-prod870393/p,"7,95 €",,,"7,95 €/ud",,Carnicería
Todos los Vinos,"
Manzanilla D.O. Sanlúcar de Barrameda Muy Fina 75 cl.",https://www.carrefour.es/supermercado/manzanilla-d-o-sanlucar-de-barrameda-muy-fina-75-cl-muyfina/R-520662938/p,"3,05 €",,,"3,05 €/ud",,Carnicería
Todos los Vinos,"
Vino D.O. Montilla-Moriles fino Deley 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-montilla-moriles-fino-deley-75-cl-deley/R-521010464/p,"2,25 €",,,"2,25 €/ud",,Carnicería
Todos los Vinos,"
Vino D.O. Jerez fino Los Seises 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-jerez-fino-los-seises-75-cl-los-seises/R-807571519/p,,"
3,45 €","
3,65 €","3,45 €/ud",3x2,Carnicería
Todos los Vinos,"
Mistela Moscatel La Cartuja 75 cl.",https://www.carrefour.es/supermercado/mistela-moscatel-la-cartuja-75-cl-la-cartuja/R-695700799/p,"2,65 €",,,"2,65 €/ud",,Carnicería
Todos los Vinos,"
Vino dulce Málaga Virgen 75 cl.",https://www.carrefour.es/supermercado/vino-dulce-malaga-virgen-75-cl-malaga-virgen/R-520662124/p,"5,95 €",,,"5,95 €/ud",,Carnicería
Todos los Vinos,"
Vino D.O. Jerez fino Tío Pepe 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-jerez-fino-tio-pepe-75-cl-tio-pepe/R-520662930/p,"7,50 €",,,"7,50 €/ud",,Carnicería
Todos los Vinos,"
Manzanilla Los Seises 75 cl.",https://www.carrefour.es/supermercado/manzanilla-los-seises-75-cl-los-seises/R-807571517/p,,"
3,45 €","
3,65 €","3,45 €/ud",3x2,Carnicería
Bio en Vinos,"
Toallitas para bebé sin perfume ecológicas Carrefour Bio 64 ud.",https://www.carrefour.es/supermercado/toallitas-para-bebe-sin-perfume-ecologicas-carrefour-bio-64-ud-carrefour-baby/R-prod500066/p?prtId=cat20050,"2,05 €",,,"0,03 €/ud",,Alcoholes
Todos los Vinos,"
Vino D.O. Montilla-Moriles fino La Sultana 70 cl.",https://www.carrefour.es/supermercado/vino-d-o-montilla-moriles-fino-la-sultana-70-cl-la-sultana/R-520662948/p,"2,65 €",,,"2,65 €/ud",,Carnicería
