seccion,categoria,descripcion,precioMedida,precio,precioPrevio,precioOferta,promocion,enlace
Utensilios de Limpieza,"
Plumeros, Rodillos y Recambios","
Plumero Antiestático ROZENBAL - Fucsia","2,80 €/ud","2,80 €",,,,https://www.carrefour.es/supermercado/plumero-antiestatico-rozenbal-fucsia/R-869702067/p
Utensilios de Limpieza,"
Plumeros, Rodillos y Recambios","
Plumero de interior    - Multicolor","1,99 €/ud","1,99 €",,,,https://www.carrefour.es/supermercado/plumero-de-interior-multicolor/R-770218596/p
Utensilios de Limpieza,"
Plumeros, Rodillos y Recambios","
Rodillo Quitapelusas Adhesivo Ergonómico ROZENBAL 4,5x4,5x23,5 cm","1,65 €/ud","1,65 €",,,,https://www.carrefour.es/supermercado/rodillo-quitapelusas-adhesivo-ergonomico-rozenbal-4-5x4-5x23-5-cm-rozenbal/R-VC4AECOMM-550033/p
Utensilios de Limpieza,"
Plumeros, Rodillos y Recambios","
Plumero y 5 recambios desechables  Rozenbal  - Azul","2,50 €/ud","2,50 €",,,,https://www.carrefour.es/supermercado/plumero-y-5-recambios-desechables-rozenbal-azul/R-830003873/p
Utensilios de Limpieza,"
Plumeros, Rodillos y Recambios","
Set de 2 Recambios Rodillo Quitapelusas Adhesivo ROZENBAL 4,5x9,5x10 cm","1,00 €/ud","1,99 €",,,,https://www.carrefour.es/supermercado/set-de-2-recambios-rodillo-quitapelusas-adhesivo-rozenbal-4-5x9-5x10-cm-rozenbal/R-VC4AECOMM-550031/p
,,"
Picada de vacuno ecológico Carrefour Bio 400 g","9,62 €/kg","3,85 €",,,,https://www.carrefour.es/supermercado/picada-de-vacuno-ecologico-carrefour-bio-400-g-carrefour-bio/R-prod1070058/p?prtId=cat20018
Utensilios de Limpieza,"
Plumeros, Rodillos y Recambios","
Plumero + 6 recambios Swiffer 1 ud.","5,25 €/ud","5,25 €",,,,https://www.carrefour.es/supermercado/plumero-6-recambios-swiffer-1-ud-swiffer/R-fprod1440023/p
Utensilios de Limpieza,"
Plumeros, Rodillos y Recambios","
Plumero Avestruz VIGAR - Bicolor","7,30 €/ud","7,30 €",,,,https://www.carrefour.es/supermercado/plumero-avestruz-vigar-bicolor/R-829517713/p
Utensilios de Limpieza,"
Plumeros, Rodillos y Recambios","
Plumero Pluma Pavo VIGAR - Bicolor","2,99 €/ud","2,99 €",,,,https://www.carrefour.es/supermercado/plumero-pluma-pavo-vigar-bicolor/R-818300549/p
Utensilios de Limpieza,"
Plumeros, Rodillos y Recambios","
Plumero Microfibra  Elephant  - Blanco","5,60 €/ud","5,60 €",,,,https://www.carrefour.es/supermercado/plumero-microfibra-elephant-blanco/R-770218598/p
,,"
Hamburguesa de vacuno ecológica sin gluten y sin lactosa Carrefour Bio 2x120 g","8,29 €/kg",,"
2,39 €","
1,99 €",,https://www.carrefour.es/supermercado/hamburguesa-de-vacuno-ecologica-sin-gluten-y-sin-lactosa-carrefour-bio-2x120-g-carrefour-bio/R-prod1070059/p?prtId=cat20018
,,"
Carpaccio de vacuno ecológico Carrefour Bio 120 g aprox","21,25 €/kg",,"
2,99 €","
2,55 €",,https://www.carrefour.es/supermercado/carpaccio-de-vacuno-ecologico-carrefour-bio-120-g-aprox-carrefour-bio/R-VC4AECOMM-477312/p?prtId=cat20018
,,"
Filete 1ªA de añojo ecológico Carrefour Bio 500 g aprox","14,99 €/kg","7,49 €",,,,https://www.carrefour.es/supermercado/filete-1-a-de-anojo-ecologico-carrefour-bio-500-g-aprox-carrefour-bio/R-prod1070057/p?prtId=cat20018
Utensilios de Limpieza,"
Plumeros, Rodillos y Recambios","
Plumero articulado  ROBENZAL  - Gris","6,60 €/ud","6,60 €",,,,https://www.carrefour.es/supermercado/plumero-articulado-robenzal-gris/R-872403175/p
Utensilios de Limpieza,"
Plumeros, Rodillos y Recambios","
Plumero XXL + 2 recambios Swiffer 1 ud.","8,35 €/ud","8,35 €",,,,https://www.carrefour.es/supermercado/plumero-xxl-2-recambios-swiffer-1-ud-swiffer/R-fprod1440103/p
Utensilios de Limpieza,"
Plumeros, Rodillos y Recambios","
Set de 3 Mini-rodillos KLINDO","0,83 €/ud","2,50 €",,,,https://www.carrefour.es/supermercado/set-de-3-mini-rodillos-klindo-klindo/R-prod393128/p
,,"
Champú suave con perfume de flor de tiaré y jugo de aloe vera ecologico Nectar Of Bio 200 ml.","1,28 €/100 ml",,"
3,39 €","
3,20 €",2ª al -50%,https://www.carrefour.es/supermercado/champu-suave-con-perfume-de-flor-de-tiare-y-jugo-de-aloe-vera-ecologico-nectar-of-bio-200-ml-nectar-of-bio/R-VC4AECOMM-462228/p?prtId=cat20031
,,"
Estofado de añojo ecológico Carrefour Bio 500 g aprox","11,90 €/kg","5,95 €",,,,https://www.carrefour.es/supermercado/estofado-de-anojo-ecologico-carrefour-bio-500-g-aprox-carrefour-bio/R-prod1070055/p?prtId=cat20018
,,"
Entrecot de añojo ecológico Carrefour Bio 500 g aprox","19,99 €/kg","9,99 €",,,,https://www.carrefour.es/supermercado/entrecot-de-anojo-ecologico-carrefour-bio-500-g-aprox-carrefour-bio/R-prod1070056/p?prtId=cat20018
,,"
Solomillo de añojo ecológico Carrefour Bio 300 g aprox","38,90 €/kg","11,67 €",,,,https://www.carrefour.es/supermercado/solomillo-de-anojo-ecologico-carrefour-bio-300-g-aprox-carrefour-bio/R-prod1070051/p?prtId=cat20018
,,"
Acondicionador suave con perfume de flor de tiaré y jugo de aloe vera ecologico Nectar Of Bio 200 ml.","1,60 €/100 ml",,"
3,39 €","
3,20 €",2ª al -50%,https://www.carrefour.es/supermercado/acondicionador-suave-con-perfume-de-flor-de-tiare-y-jugo-de-aloe-vera-ecologico-nectar-of-bio-200-ml-nectar-of-bio/R-VC4AECOMM-462142/p?prtId=cat20031
,,"
Mascarilla reparadora perfume de flor de tiaré ecológico Nectar Of Bio Les Comestiques 200 ml.","1,60 €/100 ml",,"
3,39 €","
3,20 €",2ª al -50%,https://www.carrefour.es/supermercado/mascarilla-reparadora-perfume-de-flor-de-tiare-ecologico-nectar-of-bio-les-comestiques-200-ml-nectar-of-bio/R-VC4AECOMM-462169/p?prtId=cat20031
