,Descripcion,Precio/Kg,Precio,PrecioPrevio,Ofertas,Promociones
0,"
Pants Pull-Ups niña Huggies T5 (13-18 kg) 34 ud.","
 34 Ud. |
0,32 €/ud",,"
11,20 €","
10,99 €",2x1 Acumulación
1,"
Pants Pull-Ups niño Huggies T5 (12-17 kg) 34 ud.","
 34 Ud. |
0,32 €/ud",,"
11,20 €","
10,99 €",2x1 Acumulación
2,"
Pants Pull-Ups niña Huggies T4 (8-12 kg) 36 ud.","
 36 Ud. |
0,31 €/ud",,"
11,20 €","
10,99 €",2x1 Acumulación
3,"
Pants Huggies Pull-Ups niño T4 (8-12 kg) 36 ud.","
 36 Ud. |
0,31 €/ud",,"
11,20 €","
10,99 €",2x1 Acumulación
4,,,,,,
5,"
Protector Absorbente Carrefour Baby10 ud.","
 10 Ud. |
0,33 €/ud","3,30 €",,,
6,"
Protector absorbente Sabanindas Extra 60x90cm 20 ud.","
 20 Ud. |
0,49 €/ud","9,80 €",,,
7,"
Bolsa para Pañal Carrefour Baby 50 ud.","
 50 Ud. |
0,03 €/ud","1,68 €",,,
8,"
Protector Absorbente Sabanindas Extra 60x60cm 20 ud.","
 20 Ud. |
0,43 €/ud","8,65 €",,,
9,"
Protegecamas Infantil Carrefour Baby 10 ud.","
 10 Ud. |
0,50 €/ud","4,95 €",,,
10,"
Protector de cama 80 x 180 cms Sabanindas 20 ud.","
 20 Ud. |
0,66 €/ud","13,15 €",,,
11,"
Protector de cama DryNites 7 ud.","
 7 Ud. |
0,97 €/ud","6,80 €",,,
12,,,,,,
13,"
Bragapañal noche Carrefour Kids Talla 4-7 años (17-30 Kg) 15 uds","
 15 Ud. |
0,66 €/ud","9,90 €",,,
14,"
Ropa interior absorbente niño noche DryNites 4-7 años (17kg-30 kg.) 16 ud.","
 16 Ud. |
0,75 €/ud","11,95 €",,,2x1 Acumulación
15,"
Ropa interior absorbente niño noche DryNites 8-15 años (27kg-57 kg.) 13 ud.","
 13 Ud. |
0,92 €/ud","11,95 €",,,2x1 Acumulación
16,"
Ropa interior absorbente niña noche DryNites 4-7 años (17kg-30 kg.) 16 ud.","
 16 Ud. |
0,75 €/ud","11,95 €",,,2x1 Acumulación
17,"
Ropa interior absorbente niño noche DryNites 3-5 años (16kg-23 kg.) 16 ud.","
 16 Ud. |
0,75 €/ud","11,95 €",,,2x1 Acumulación
18,"
Ropa interior absorbente niña noche DryNites 8-15 años (27kg-57 kg.) 13 ud.","
 13 Ud. |
0,92 €/ud","11,95 €",,,2x1 Acumulación
19,"
Pants noche Carrefour Kids Talla 8-15 años (27-57 Kg) 12 ud.","
 12 Ud. |
0,83 €/ud","9,90 €",,,
20,"
Ropa interior absorbente niña noche DryNites 3-5 años (16kg-23 kg.) 16 ud","
 16 Ud. |
0,75 €/ud","11,95 €",,,2x1 Acumulación
21,,,,,,
22,"
Toallitas para bebé sin perfume ecológicas Carrefour Bio 64 ud.","
 64 Ud. |
0,03 €/ud","2,05 €",,,
23,"
Pañales ecológicos Carrefour Baby Talla 5 junior (11-25 Kg) 24 ud.","
 24 Ud. |
0,30 €/ud","7,10 €",,,
24,"
Pañales ecológicos Carrefour Baby Talla 4 maxi (7-18 Kg) 28 ud.","
 28 Ud. |
0,25 €/ud","7,10 €",,,
25,"
Pants soft & eco-friendly ecológico My Carrefour Baby T5 (12-18 kg) 18 ud.","
 18 Ud. |
0,34 €/ud","6,10 €",,,
26,"
Pants soft & eco-friendly ecológico My Carrefour Baby T4 (8-15 kg) 20 ud.","
 20 Ud. |
0,30 €/ud","6,10 €",,,
27,"
Pants soft & eco-friendly ecológico My Carrefour Baby T6 (+16 kg) 16 ud.","
 16 Ud. |
0,38 €/ud","6,10 €",,,
28,"
Pañales ecológicos Carrefour Baby Talla 3 Mini (4-9 Kg) 30 ud.","
 30 Ud. |
0,24 €/ud","7,10 €",,,
29,,,,,,
30,"
Pañales Dodot XXL Talla 5 (11-16 kg) 168 uds","
 168 Ud. |
0,22 €/ud","37,60 €",,,5€ dto.
31,"
Pañales Dodot XXL Talla 4 (9-14 Kg) 180 uds","
 180 Ud. |
0,21 €/ud","37,60 €",,,5€ dto.
32,"
Pañales Dodot Sensitive Recién Nacido Talla 2 (4-8 kg) 92 uds","
 92 Ud. |
0,22 €/ud","20,66 €",,,2x1 Acumulación
33,"
Toallitas para bebé Dodot Sensitive pack de 4 paquetes de 54 ud.","
 Pack 4x54 Ud. |
0,04 €/ud","7,75 €",,,3x2
34,"
Pants Dodot T5 (12-17 kg) 60 ud.","
 60 Ud. |
0,33 €/ud",,"
20,15 €","
19,99 €",3x2
35,"
Pañales Dodot XXL Talla 3 (6-10 kg) 192 uds","
 192 Ud. |
0,20 €/ud","37,60 €",,,5€ dto.
36,"
Pañales Dodot Bebé Seco Talla 6 +13 Kg 144 ud.","
 144 Ud. |
0,26 €/ud","37,60 €",,,5€ dto.
37,"
Toallitas para bebé con tapa aqua pure Dodot pack de 3 paquetes de 48 ud.","
 144 Ud. |
0,06 €/ud",,"
8,90 €","
8,35 €",3x2
38,"
Pañales Dodot activity Extra Talla 6 (+16 kg) 44 ud.","
 44 Ud. |
0,51 €/ud","22,45 €",,,2x1 Acumulación
39,"
Ropa interior absorbente niño noche DryNites 4-7 años (17kg-30 kg.) 16 ud.","
 16 Ud. |
0,75 €/ud","11,95 €",,,2x1 Acumulación
40,"
Pañales Dodot Azul Extra Talla 4 (10-15 kg) 74 uds","
 74 Ud. |
0,27 €/ud",,"
20,15 €","
19,95 €",3x2
41,"
Pants Dodot T6 (15 + kg) 56 ud.","
 56 Ud. |
0,36 €/ud",,"
20,15 €","
19,99 €",3x2
42,"
Pañales Dodot Activity XXL Talla 5 (11-16 kg) 126 ud.","
 126 Ud. |
0,36 €/ud","45,99 €",,,5€ dto.
43,"
Pañales Premium Ultra Protect Carrefour Baby T4 (7kg.-18kg.) 40 ud.","
 40 Ud. |
0,22 €/ud",,"
9,25 €","
8,80 €",3x2
44,"
Pants Dodot T4 (9-15 kg) 66 ud.","
 66 Ud. |
0,30 €/ud",,"
20,15 €","
19,99 €",3x2
45,"
Pañales Dodot Activity XXL Talla 4 (9-14 kg) 144 ud.","
 144 Ud. |
0,32 €/ud","45,99 €",,,5€ dto.
46,"
Pañales Dodot Sensitive Extra Talla 4 (10-15 kg) 52 ud.","
 52 Ud. |
0,43 €/ud","22,45 €",,,2x1 Acumulación
47,"
Pañales Dodot Sensitive Extra Talla 3 (7-11 kg) 60 ud.","
 60 Ud. |
0,37 €/ud","22,45 €",,,2x1 Acumulación
48,"
Pañales Dodot Azul Extra Talla 5 (12-17 kg) 66 uds","
 66 Ud. |
0,30 €/ud",,"
20,15 €","
19,95 €",3x2
49,"
Pañales Dodot sensitive Talla 3 (6kg -10kg) 168 ud.","
 168 Ud. |
0,27 €/ud","45,99 €",,,5€ dto.
50,"
Pañales premium ultra protect Carrefour Baby T5 (11kg.-25kg) 36 ud.","
 36 Ud. |
0,24 €/ud",,"
9,25 €","
8,80 €",3x2
51,"
Ropa interior absorbente niño noche DryNites 8-15 años (27kg-57 kg.) 13 ud.","
 13 Ud. |
0,92 €/ud","11,95 €",,,2x1 Acumulación
52,"
Pants Dodot T7 (17+ kg) 46 ud.","
 46 Ud. |
0,43 €/ud",,"
20,15 €","
19,99 €",3x2
53,"
Pañales Dodot Sensitive Extra Talla 5 (12-17 kg) 48 ud.","
 48 Ud. |
0,47 €/ud","22,45 €",,,2x1 Acumulación
54,,,,,,
55,"
Crema de orujo Puntemiño 70 cl.","
 70 Cl. |
8,13 €/l",,"
5,80 €","
5,69 €",3x2
56,"
Crema irlandesa Baileys 1 l.","
 1 L. |
16,61 €/l","16,61 €",,,5€ dto.
57,"
Crema irlandesa Baileys 70 cl.","
 70 Cl. |
17,07 €/l","11,95 €",,,
58,"
Licor de hierbas Ruavieja 1 l.","
 1 L. |
12,30 €/l","12,30 €",,,
59,"
Pack Ruavieja Licor de hierbas 70 cl + 2 vasos","
 70 Cl. |
12,71 €/l","8,90 €",,,
60,"
Crema de orujo Ruavieja 1 l.","
 1 L. |
15,50 €/l","15,50 €",,,
61,"
Crema de whisky O'Galwan 70 cl.","
 70 Cl. |
7,14 €/l","5,00 €",,,
62,"
Licor de hierbas Puntemiño 70 cl.","
 70 Cl. |
8,13 €/l","5,69 €",,,
63,"
Crema de orujo Ruavieja 70 cl.","
 70 Cl. |
17,00 €/l","11,90 €",,,
64,"
Anís del Mono edición especial 1 l.","
 1 L. |
10,05 €/l","10,05 €",,,
65,"
Anís La Castellana dulce 70 cl.","
 70 Cl. |
10,93 €/l","7,65 €",,,
66,"
Anisado Anís del Mono dulce 70 cl.","
 70 Cl. |
11,21 €/l","7,85 €",,,
67,"
Licor 43 horchata 70 cl.","
 70 Cl. |
19,57 €/l","13,70 €",,,
68,"
Anís Altorreal dulce 70 cl.","
 70 Cl. |
5,89 €/l","4,12 €",,,
69,"
Pacharán Zoco 1 l.","
 1 L. |
10,25 €/l","10,25 €",,,
70,"
Anisete Marie Brizard 1 l.","
 1 L. |
8,75 €/l","8,75 €",,,
71,"
Licor amaretto Disaronno 70 cl.","
 70 Cl. |
22,64 €/l","15,85 €",,,
72,"
Licor limoncello Villa Massa 70 cl.","
 70 Cl. |
18,71 €/l","13,10 €",,,
73,"
Licor de café Puntemiño 70 cl.","
 70 Cl. |
8,13 €/l","5,69 €",,,
74,"
Orujo blanco Puntemiño 70 cl.","
 70 Cl. |
9,36 €/l","6,55 €",,,
75,"
Licor aperitivo Aperol 70 cl.","
 70 Cl. |
15,86 €/l","11,10 €",,,
76,"
Licor limoncello del Mediterráneo 70 cl.","
 70 Cl. |
12,43 €/l","8,70 €",,,
77,"
Licor 43 70 cl.","
 70 Cl. |
19,14 €/l","13,40 €",,,
78,"
Licor limoncello Carrefour 50 cl.","
 50 Cl. |
8,30 €/l","4,15 €",,,
79,,,,,,
80,"
Sidra ecológica Maeloc achampanada extra botella 75 cl.","
 75 Cl. |
1,99 €/ud","1,99 €",,,
81,"
Sidra Ecológica Menendez natural 70 cl.","
 70 Cl. |
2,60 €/ud","2,60 €",,,
82,"
Sidra ecológica Maeloc achampanada dulce botella 75 cl.","
 75 Cl. |
2,00 €/ud","2,00 €",,,
83,"
Sidra Bereziartua 75 cl.","
 75 Cl. |
3,35 €/ud","3,35 €",,,
84,,,,,,
85,"
Gel micelar bio Corine de farme 500 ml","
 500 Ml. |
1,09 €/100 ml","5,45 €",,,
86,"
Linimento Corine Farme Bio 500 ml","
 500 Ml. |
1,34 €/100 ml","6,70 €",,,
87,"
Crema protectora de rostro y cuerpo bio Corine de farme 100 ml","
 100 Ml. |
4,15 €/100 ml","4,15 €",,,
88,"
Champú micelar ecológico Corine de farme baby 500 ml","
 500 Ml. |
1,10 €/100 ml","5,50 €",,,
89,"
Agua de limpieza micelar ecológica Corine de Farme Baby 500 ml.","
 500 Ml. |
0,77 €/100 ml","3,85 €",,,
90,"
Gel-Champú ecológico Denenes Naturals 400 ml.","
 400 Ml. |
1,04 €/100 ml","4,15 €",,,
91,"
Loción corporal hidratante ecológica Natural Denenes 400 ml.","
 400 Ml. |
1,04 €/100 ml","4,15 €",,,
92,"
Champú de romero para cabello fino ecológico Urtekram 500 ml.","
 500 Ml. |
2,65 €/100 ml","13,25 €",,,
93,"
Champú de aloe vera para cabello normal ecológico Urtekram 500 ml.","
 500 Ml. |
2,65 €/100 ml","13,25 €",,,
94,"
Colonia infantil ecológica Natural Denenes 500 ml.","
 500 Ml. |
0,85 €/100 ml","4,25 €",,,
95,"
Acondicionador de coco para cabello normal ecológico Urtekram 180 ml.","
 180 Ml. |
4,44 €/100 ml","8,00 €",,,
96,"
Gel-champú relajante Baby Care ecológico Elifexir 500 ml","
 500 Ml. |
2,86 €/100 ml","14,30 €",,,
97,"
Crema protección Baby&Kinder ecológica Lavera 75 cl.","
 75 Cl. |
11,67 €/100 ml","8,75 €",,,
98,"
Crema solar bebé SPF 50+ ecológica Acorelle 50 ml.","
 50 Ml. |
37,60 €/100 ml","18,80 €",,,
99,,,,,,
100,"
Pacharán Zoco 1 l.","
 1 L. |
10,25 €/l","10,25 €",,,
101,"
Pacharán Anduí 1 l.","
 1 L. |
7,25 €/l","7,25 €",,,
102,"
Pacharán Berezko 1 l.","
 1 L. |
11,40 €/l",,"
15,25 €","
11,40 €",
103,"
Pacharán Urtebi 1 l.","
 1 L. |
7,25 €/l","7,25 €",,,
104,"
Pacharán Baines 1 l.","
 1 L. |
16,40 €/l","16,40 €",,,
105,"
Pacharán Etxeko  1 l.","
 1 L. |
14,30 €/l","14,30 €",,,
106,"
Pacharán De Nuestra Tierra 70 cl.","
 70 Cl. |
15,79 €/l","11,05 €",,,
107,"
Pacharán La Navarra 1 l.","
 1 L. |
10,56 €/l","10,56 €",,,
108,,,,,,
109,"
LOTE 105. Estuche de 4 botellas de cava Anna de Codorníu brut D.O Cava 75 cl.","
 Pack 4x75 Cl. |
32,85 €/ud","32,85 €",,,
110,"
LOTE 101. Estuche de 2 botellas de cava Freixenet Cordón Negro brut D.O. Cava 75 cl. + regalo bombones Nestlé Caja Roja 70 g.","
 Pack 2x75 Cl. |
12,99 €/ud","12,99 €",,,
111,"
LOTE 107. Estuche de 2 botellas de cava Anna de Codorniu brut D.O. cava 75 cl + 1 botella de vino D.O.CA. Rioja Viña Pomal tinto crianza 75 cl","
 Pack 3x75 Cl. |
22,60 €/ud","22,60 €",,,
112,"
LOTE 108. Estuche de 2 botellas de Cava Freixenet brut nature reserva D.O. Cava 75 cl. + 2 copas de regalo","
 Pack 2x75 Cl. |
17,99 €/ud","17,99 €",,,
113,"
LOTE 104. Estuche de 2 botellas de cava ecológico Juvé y Camps gran reserva brut nature D.O.Cava 75 cl","
 Pack 2x75 Cl. |
33,90 €/ud","33,90 €",,,
114,"
LOTE 106. Estuche de 2 botellas de cava Elyssia Gran Cuvee brut D.O.Cava 75 cl. + regalo turrón blando de almendra Vicens Excellence 150 g.","
 Pack 2x75 Cl. |
23,99 €/ud","23,99 €",,,
115,"
Estuche cava extra brut reserva","
 Pack 2x75 Cl. |
10,90 €/ud","10,90 €",,,
116,"
Cava Codorníu-Anna brut estuche de 2 botellas de 75 cl.","
 Pack 2x75 Cl. |
18,00 €/ud","18,00 €",,,
117,,,,,,
118,"
Ginebra Seagram's extra 70 cl.","
 70 Cl. |
22,71 €/l","15,90 €",,,Oferta
119,"
Ginebra Larios 1 l.","
 1 L. |
10,65 €/l","10,65 €",,,5€ dto.
120,"
Ginebra Beefeater 70 cl.","
 70 Cl. |
19,36 €/l","13,55 €",,,Oferta
121,"
Ginebra Tanqueray 70 cl.","
 70 Cl. |
19,84 €/l","13,89 €",,,5€ dto.
122,"
Bebida espirituosa Veterano 1 l.","
 1 L. |
8,49 €/l",,"
8,99 €","
8,49 €",
123,"
Ron Barceló añejo 70 cl.","
 70 Cl. |
19,99 €/l","13,99 €",,,Oferta
124,"
Ron Brugal añejo superior 1 l.","
 1 L. |
17,24 €/l","17,24 €",,,Oferta
125,"
Ginebra Old Thames pink 70 cl.","
 70 Cl. |
10,71 €/l",,"
7,58 €","
7,50 €",2x1 Acumulación
126,"
Ginebra Larios 12 premium 70 cl.","
 70 Cl. |
19,00 €/l","13,30 €",,,5€ dto.
127,"
Whisky Tennessee Jack Daniel's 70 cl.","
 70 Cl. |
29,50 €/l","20,65 €",,,15% dto. x 2ud.
128,"
Whisky Passport Scotch escocés 1 l.","
 1 L. |
13,83 €/l","13,83 €",,,2x1 Acumulación
129,"
Whisky Dyc 1 l.","
 1 L. |
11,11 €/l","11,11 €",,,5€ dto.
130,"
Tequila Jose Cuervo especial reposado 70 cl.","
 70 Cl. |
19,71 €/l","13,80 €",,,2x1 Acumulación
131,"
Whisky Johnnie Walker Double Black escocés 70 cl.","
 70 Cl. |
40,29 €/l","28,20 €",,,2x1 Acumulación
132,"
Whisky Cardhu escocés reserva gold 70 cl.","
 70 Cl. |
39,86 €/l","27,90 €",,,5€ dto.
133,"
Ron Brugal añejo superior 70 cl.","
 70 Cl. |
19,70 €/l","13,79 €",,,5€ dto.
134,"
Whisky Passport Scotch escocés 70 cl.","
 70 Cl. |
14,71 €/l","10,30 €",,,2x1 Acumulación
135,"
Ginebra Beefeater 1 l.","
 1 L. |
18,56 €/l","18,56 €",,,Oferta
136,"
Whisky The Famous Grouse escocés 1 l.","
 1 L. |
16,29 €/l","16,29 €",,,5€ dto.
137,"
Ginebra Nordés premium 70 cl.","
 70 Cl. |
32,71 €/l","22,90 €",,,20% dto. x 2ud.
138,"
Ron Cacique Añejo Superior 1 l.","
 1 L. |
15,22 €/l","15,22 €",,,5€ dto.
139,"
Whisky Dyc 8 años 70 cl.","
 70 Cl. |
16,36 €/l","11,45 €",,,5€ dto.
140,"
Ginebra Bombay Sapphire 1 l.","
 1 L. |
26,99 €/l","26,99 €",,,2x1 Acumulación
141,"
Ginebra Ampersand 70 cl.","
 70 Cl. |
20,86 €/l",,"
15,15 €","
14,60 €",2x1 Acumulación
142,,,,,,
143,"
Cava reserva ecológico Agustí Torello Mata brut 75 cl.","
 75 Cl. |
10,50 €/ud","10,50 €",,,
144,"
Cava ecológico Codorníu-Anna brut reserva 75 cl.","
 75 Cl. |
9,05 €/ud","9,05 €",,,
145,"
Cava ecológico Raimat Chardonnay Xarello brut nature 75 cl.","
 75 Cl. |
8,95 €/ud","8,95 €",,,
146,"
Vino espumoso ecológico Recaredo Terrers brut nature 75 cl.","
 75 Cl. |
20,50 €/ud","20,50 €",,,
147,"
LOTE 104. Estuche de 2 botellas de cava ecológico Juvé y Camps gran reserva brut nature D.O.Cava 75 cl","
 Pack 2x75 Cl. |
33,90 €/ud","33,90 €",,,
148,"
Cava ecológico Peñalba López Brut Nature D.O.Cava 75 cl.","
 75 Cl. |
10,90 €/ud","10,90 €",,,
149,"
Cava Juvé y Camps brut nature gran reserva  75 cl.","
 75 Cl. |
15,82 €/ud","15,82 €",,,
150,"
Cava Freixenet Organic brut 75 cl.","
 75 Cl. |
8,95 €/ud","8,95 €",,,
151,"
Espumoso blanco Albet I Noya Brut 21 75 cl.","
 75 Cl. |
18,90 €/ud","18,90 €",,,
152,,,,,,
153,"
Champagne Courance brut 75 cl.","
 75 Cl. |
12,90 €/ud","12,90 €",,,
154,"
Cava Puigesser brut nature 75 cl.","
 75 Cl. |
1,90 €/ud","1,90 €",,,
155,"
Cava Jaume Serra brut nature 75 cl.","
 75 Cl. |
2,95 €/ud","2,95 €",,,
156,"
Cava Conde de Caralt brut nature 75 cl.","
 75 Cl. |
4,50 €/ud","4,50 €",,,
157,"
Cava Castell del Llac artesano brut nature 75 cl.","
 75 Cl. |
2,50 €/ud","2,50 €",,,
158,"
Cava Freixenet semiseco pack de 3 botellas de 20 cl.","
 Pack 3x20 Cl. |
5,00 €/ud","5,00 €",,,
159,"
Cava Puigesser semiseco 75 cl.","
 75 Cl. |
1,90 €/ud","1,90 €",,,
160,"
Cava Bach Extrísimo brut nature 75 cl.","
 75 Cl. |
4,35 €/ud","4,35 €",,,
