,Seccion,Categoria,Descripcion,Precio/Kg,Precio,PrecioPrevio,Ofertas,Promociones,Enlace
0,Puericultura,Ofertas y promociones,"
Pañales Dodot XXL Talla 5 (11-16 kg) 168 uds","
 168 Ud. |
0,22 €/ud","37,60 €",,,5€ dto.,https://www.carrefour.es/supermercado/panales-dodot-xxl-talla-5-11-16-kg-168-uds-dodot-bebe-seco/R-859823263/p?prtId=cat20050
1,Puericultura,Ofertas y promociones,"
Pañales Dodot XXL Talla 4 (9-14 Kg) 180 uds","
 180 Ud. |
0,21 €/ud","37,60 €",,,5€ dto.,https://www.carrefour.es/supermercado/panales-dodot-xxl-talla-4-9-14-kg-180-uds-dodot-bebe-seco/R-859823261/p?prtId=cat20050
2,Puericultura,Ofertas y promociones,"
Toallitas para bebé Dodot Sensitive pack de 4 paquetes de 54 ud.","
 Pack 4x54 Ud. |
0,04 €/ud","7,75 €",,,3x2,https://www.carrefour.es/supermercado/toallitas-para-bebe-dodot-sensitive-pack-de-4-paquetes-de-54-ud-dodot-sensitive/R-682909200/p?prtId=cat20050
3,Puericultura,Ofertas y promociones,"
Pañales Dodot Sensitive Recién Nacido Talla 2 (4-8 kg) 92 uds","
 92 Ud. |
0,22 €/ud","20,66 €",,,2x1 Acumulación,https://www.carrefour.es/supermercado/panales-dodot-sensitive-recien-nacido-talla-2-4-8-kg-92-uds-dodot-sensitive/R-829518813/p?prtId=cat20050
4,Puericultura,Ofertas y promociones,"
Toallitas para bebé con tapa aqua pure Dodot pack de 3 paquetes de 48 ud.","
 144 Ud. |
0,06 €/ud",,"
8,90 €","
8,35 €",3x2,https://www.carrefour.es/supermercado/toallitas-para-bebe-con-tapa-aqua-pure-dodot-pack-de-3-paquetes-de-48-ud-dodot-aqua-pure/R-prod1120153/p?prtId=cat20050
5,Puericultura,Ofertas y promociones,"
Pants Dodot T5 (12-17 kg) 60 ud.","
 60 Ud. |
0,33 €/ud",,"
20,15 €","
19,99 €",3x2,https://www.carrefour.es/supermercado/pants-dodot-t5-12-17-kg-60-ud-dodot-pants/R-VC4AECOMM-494162/p?prtId=cat20050
6,Puericultura,Ofertas y promociones,"
Pañales Dodot XXL Talla 3 (6-10 kg) 192 uds","
 192 Ud. |
0,20 €/ud","37,60 €",,,5€ dto.,https://www.carrefour.es/supermercado/panales-dodot-xxl-talla-3-6-10-kg-192-uds-dodot-bebe-seco/R-859823259/p?prtId=cat20050
7,Puericultura,Ofertas y promociones,"
Pañales Dodot Bebé Seco Talla 6 +13 Kg 144 ud.","
 144 Ud. |
0,26 €/ud","37,60 €",,,5€ dto.,https://www.carrefour.es/supermercado/panales-dodot-bebe-seco-talla-6-13-kg-144-ud-dodot-bebe-seco/R-prod710116/p?prtId=cat20050
8,Puericultura,Ofertas y promociones,"
Pañales Dodot Azul Extra Talla 4 (10-15 kg) 74 uds","
 74 Ud. |
0,27 €/ud",,"
20,15 €","
19,95 €",3x2,https://www.carrefour.es/supermercado/panales-dodot-azul-extra-talla-4-10-15-kg-74-uds-dodot-bebe-seco-extra/R-808455615/p?prtId=cat20050
9,Puericultura,Ofertas y promociones,"
Ropa interior absorbente niño noche DryNites 4-7 años (17kg-30 kg.) 16 ud.","
 16 Ud. |
0,75 €/ud","11,95 €",,,2x1 Acumulación,https://www.carrefour.es/supermercado/ropa-interior-absorbente-nino-noche-drynites-4-7-anos-17kg-30-kg-16-ud-drynites/R-521036779/p?prtId=cat20050
10,Puericultura,Ofertas y promociones,"
Pants Dodot T6 (15 + kg) 56 ud.","
 56 Ud. |
0,36 €/ud",,"
20,15 €","
19,99 €",3x2,https://www.carrefour.es/supermercado/pants-dodot-t6-15-kg-56-ud-dodot-pants/R-VC4AECOMM-494147/p?prtId=cat20050
11,Puericultura,Ofertas y promociones,"
Pañales Dodot activity Extra Talla 6 (+16 kg) 44 ud.","
 44 Ud. |
0,51 €/ud","22,45 €",,,2x1 Acumulación,https://www.carrefour.es/supermercado/panales-dodot-activity-extra-talla-6-16-kg-44-ud-dodot-activity-extra/R-prod1170099/p?prtId=cat20050
12,Puericultura,Ofertas y promociones,"
Pañales Premium Ultra Protect Carrefour Baby T4 (7kg.-18kg.) 40 ud.","
 40 Ud. |
0,22 €/ud",,"
9,25 €","
8,80 €",3x2,https://www.carrefour.es/supermercado/panales-premium-ultra-protect-carrefour-baby-t4-7kg-18kg-40-ud-carrefour-baby-ultra-protect/R-prod980028/p?prtId=cat20050
13,Puericultura,Ofertas y promociones,"
Pañales Dodot Activity XXL Talla 5 (11-16 kg) 126 ud.","
 126 Ud. |
0,36 €/ud","45,99 €",,,5€ dto.,https://www.carrefour.es/supermercado/panales-dodot-activity-xxl-talla-5-11-16-kg-126-ud-dodot-activity/R-prod1130580/p?prtId=cat20050
14,Puericultura,Ofertas y promociones,"
Pañales Dodot Azul Extra Talla 5 (12-17 kg) 66 uds","
 66 Ud. |
0,30 €/ud",,"
20,15 €","
19,95 €",3x2,https://www.carrefour.es/supermercado/panales-dodot-azul-extra-talla-5-12-17-kg-66-uds-dodot-bebe-seco-extra/R-830827072/p?prtId=cat20050
15,Puericultura,Ofertas y promociones,"
Pañales Dodot Sensitive Extra Talla 3 (7-11 kg) 60 ud.","
 60 Ud. |
0,37 €/ud","22,45 €",,,2x1 Acumulación,https://www.carrefour.es/supermercado/panales-dodot-sensitive-extra-talla-3-7-11-kg-60-ud-dodot-sensitive-extra/R-prod1000510/p?prtId=cat20050
16,Puericultura,Ofertas y promociones,"
Pants Dodot T4 (9-15 kg) 66 ud.","
 66 Ud. |
0,30 €/ud",,"
20,15 €","
19,99 €",3x2,https://www.carrefour.es/supermercado/pants-dodot-t4-9-15-kg-66-ud-dodot-pants/R-VC4AECOMM-494115/p?prtId=cat20050
17,Puericultura,Ofertas y promociones,"
Pañales Dodot Sensitive Extra Talla 4 (10-15 kg) 52 ud.","
 52 Ud. |
0,43 €/ud","22,45 €",,,2x1 Acumulación,https://www.carrefour.es/supermercado/panales-dodot-sensitive-extra-talla-4-10-15-kg-52-ud-dodot-sensitive-extra/R-prod1000421/p?prtId=cat20050
18,Puericultura,Ofertas y promociones,"
Pañales Dodot Activity XXL Talla 4 (9-14 kg) 144 ud.","
 144 Ud. |
0,32 €/ud","45,99 €",,,5€ dto.,https://www.carrefour.es/supermercado/panales-dodot-activity-xxl-talla-4-9-14-kg-144-ud-dodot-activity/R-prod1130536/p?prtId=cat20050
19,Puericultura,Ofertas y promociones,"
Pañales premium ultra protect Carrefour Baby T5 (11kg.-25kg) 36 ud.","
 36 Ud. |
0,24 €/ud",,"
9,25 €","
8,80 €",3x2,https://www.carrefour.es/supermercado/panales-premium-ultra-protect-carrefour-baby-t5-11kg-25kg-36-ud-carrefour-baby-ultra-protect/R-prod980055/p?prtId=cat20050
20,Puericultura,Ofertas y promociones,"
Pañales Dodot sensitive Talla 3 (6kg -10kg) 168 ud.","
 168 Ud. |
0,27 €/ud","45,99 €",,,5€ dto.,https://www.carrefour.es/supermercado/panales-dodot-sensitive-talla-3-6kg-10kg-168-ud-dodot-sensitive/R-fprod1310125/p?prtId=cat20050
21,Puericultura,Ofertas y promociones,"
Ropa interior absorbente niño noche DryNites 8-15 años (27kg-57 kg.) 13 ud.","
 13 Ud. |
0,92 €/ud","11,95 €",,,2x1 Acumulación,https://www.carrefour.es/supermercado/ropa-interior-absorbente-nino-noche-drynites-8-15-anos-27kg-57-kg-13-ud-drynites/R-521036775/p?prtId=cat20050
