,Productos,Precio/Kg,Precios,PrecioPrevio,Ofertas,Promociones
0,"
Salsa bechamel Carrefour brik 500 ml.","
 500 Ml. |
2,60 €/l","1,30 €",,,
1,"
Salsa bechamel Knorr brik 500 ml.","
 500 Ml. |
4,30 €/l","2,15 €",,,3x2
2,"
Salsa bechamel Président pack de 2 briks de 250 ml.","
 Pack 2x250 Ml. |
5,20 €/l","2,60 €",,,
3,"
Salsa bechamel Carrefour sobre 60 g.","
 60 G. |
12,83 €/kg","0,77 €",,,
4,"
Salsa bechamel Parmalat brik 500 ml.","
 500 Ml. |
4,40 €/l","2,20 €",,,
5,,,,,,
6,"
Nata montada azucarada y aromatizada Carrefour 500 g.","
 500 G. |
2,58 €/kg","1,29 €",,,
7,,,,,,
8,"
Tortitas de arroz con chocolate blanco ecológicas Carrefour Bio sin gluten Bio 90 g.","
 90 G. |
16,56 €/kg","1,49 €",,,
9,"
Almendras crudas sin cáscara sin sal añadida ecológicas Carrefour Bio 90 g.","
 90 G. |
18,11 €/kg","1,63 €",,,
10,"
Tortitas de arroz integrales ecológicas Carrefour Bio 100 g.","
 100 G. |
8,70 €/kg","0,87 €",,,
11,"
Nachos ecológicos Carrefour Bio 125 g.","
 125 G. |
9,52 €/kg","1,19 €",,,
12,"
Patatas fritas en aceite de oliva ecológicas Carrefour Bio 100 g.","
 100 G. |
14,90 €/kg","1,49 €",,,
13,"
Nueces peladas ecológicas Carrefour Bio 90 g.","
 90 G. |
26,67 €/kg","2,40 €",,,
14,"
Maíz crudo para palomitas ecológico Carrefour Bio 350 g.","
 350 G. |
6,83 €/kg","2,39 €",,,
15,"
Tortitas de maíz ecológicas Carrefour Bio 115 g.","
 115 G. |
9,48 €/kg","1,09 €",,,
16,"
Aceituna manzanilla sin hueso ecológica Carrefour Bio 160 g.","
 160 G. |
9,38 €/kg","1,50 €",,,
17,"
Almendras tostadas sin cáscara sin sal añadida ecológicas Carrefour Bio 90 g.","
 90 G. |
21,44 €/kg","1,93 €",,,
18,"
Tortitas de arroz con chocolate y leche ecológicas Carrefour Bio sin gluten 90 g.","
 90 G. |
13,22 €/kg","1,19 €",,,
19,"
Pistachos tostados y salados ecológicos Carrefour Bio 125 g.","
 125 G. |
24,00 €/kg","3,00 €",,,
20,"
Patatas fritas sin sal añadida ecológicas Carrefour Bio 100 g.","
 100 G. |
15,50 €/kg","1,55 €",,,
21,"
Aceitunas negras ecológicas Carrefour Bio 200 g.","
 340 G. |
9,35 €/kg","1,87 €",,,
22,"
Avellanas tostadas sin sal añadida ecológicas Carrefour Bio 90 g.","
 90 G. |
35,00 €/kg","3,15 €",,,
23,"
Patatas fritas en aceite de oliva virgen extra ecológicas Carrefour Bio 40 g.","
 40 G. |
15,00 €/kg","0,60 €",,,
24,"
Tortitas de arroz con chocolate y naranja ecológicas Carrefour Bio sin gluten 90 g.","
 90 G. |
16,56 €/kg","1,49 €",,,
25,"
Tortitas de maíz con queso cheddar ecológicas Carreofur Bio sin gluten 50 g.","
 50 G. |
25,60 €/kg","1,28 €",,,
26,"
Aceituna cocktail ecológica Carrefour Bio 200 g.","
 340 G. |
1,87 €/ud","1,87 €",,,
27,"
Tortitas de maíz con crema ágria y cebolla ecológicas Carreofur Bio sin gluten 50 g.","
 50 G. |
25,60 €/kg","1,28 €",,,
28,"
Anacardo crudo ecológico Carrefour granel tarrina 250 g","
 Envase De |
26,00 €/kg","6,50 €",,,
29,"
Datil deshuesado ecológico Carrefour granel tarrina 250 g","
 Envase De |
12,60 €/kg","3,15 €",,,
30,"
Pasa sultana ecológica Carrefour granel tarrina 125 g","
 Envase De |
9,20 €/kg","1,15 €",,,
31,"
Avellana repelada tostada ecológica Carrefour granel 150 g","
 Envase De |
23,33 €/kg","3,50 €",,,
32,,,,,,
33,"
Bebida de arroz ecológica Carrefour Bio brik 1 l.","
 1 L. |
1,09 €/l","1,09 €",,,
34,"
Bebida de almendra ecológica Carrefour Bio brik 1 l.","
 1 L. |
2,05 €/l","2,05 €",,,
35,"
Bebida de soja con calcio ecológica Carrefour Bio brik 1 l.","
 1 L. |
1,36 €/l","1,36 €",,,
36,"
Bebida de soja sabor chocolate con calcio ecológica Carrefour Bio sin gluten brik 1 l.","
 1 L. |
1,70 €/l","1,70 €",,,
37,"
Horchata de chufa ecológica Carrefour Bio sin gluten brik 1 l.","
 1 L. |
1,82 €/l","1,82 €",,,
38,"
Bebida de avena ecológica Carrefour Bio brik 1 l.","
 1 L. |
1,49 €/l","1,49 €",,,
39,"
Café latte cappuccino Carrefour Bio sin gluten 230 ml.","
 230 Ml. |
4,30 €/l","0,99 €",,,
40,"
Bebida de arroz con almendras ecológica Isola Bio sin gluten brik 250 ml.","
 250 Ml. |
4,48 €/l","1,12 €",,,
41,"
Bebida de soja sin azúcar añadido ecológica Carrefour Bio sin gluten 1 l.","
 1 L. |
0,99 €/l","0,99 €",,,
42,"
Mantequilla ecológica Carrefour Bio 250 g.","
 250 G. |
7,96 €/kg","1,99 €",,,
43,"
Leche semidesnatada ecológica Carrefour Bio sin lactosa brik 1 l.","
 1 L. |
1,18 €/l","1,18 €",,,
44,"
Leche semidesnatada fresca ecológica Carrefour Bio botella 1,5 l.","
 1,5 L. |
1,19 €/l","1,79 €",,,
45,"
Leche entera ecológica Carrefour Bio brik 1 l.","
 1 L. |
0,99 €/l","0,99 €",,,
46,"
Leche semidesnatada ecológica Carrefour Bio brik 1 l.","
 1 L. |
0,99 €/l","0,99 €",,,
47,"
Leche desnatada ecológica Carrefour Bio  brik 1 l.","
 1 L. |
0,99 €/l","0,99 €",,,
48,"
Leche semidesnatada ecológica Celta Bio 1 l.","
 1 L. |
1,15 €/l","1,15 €",,,
49,"
Bebida de arroz y coco sin azúcares añadidos ecológica Isola Bio sin gluten brik 1 l.","
 1 L. |
2,30 €/l","2,30 €",,,
50,"
Bebida de arroz ecológica Isola Bio sin gluten brik 1 l.","
 1 L. |
2,20 €/l","2,20 €",,,
51,"
Bebida de mijo ecológica Isola Bio sin gluten brik 1 l.","
 1 L. |
2,30 €/l","2,30 €",,,
52,"
Bebida de arroz y almendra ecológica Isola Bio sin gluten brik 1 l.","
 1 L. |
2,85 €/l","2,85 €",,,
53,"
Bebida de avena ecológica Costa Eco 1 l.","
 1 L. |
2,10 €/l","2,10 €",,,
54,"
Bebida de arroz ecológica Costa Eco con cacao brik 1 l.","
 1 L. |
2,65 €/l","2,65 €",,,
55,"
Bebida de avena sin azúcares añadidos ecológica YoSoy brik 1 l.","
 1 L. |
1,68 €/l","1,68 €",,,
56,"
Leche entera ecológica Puleva brik 1 l.","
 1 L. |
1,00 €/l",,"
1,29 €","
1,00 €",
57,,,,,,
58,"
Café latte cappuccino Carrefour sin gluten 250 g.","
 250 G. |
2,72 €/l",,"
0,75 €","
0,68 €",
59,"
Café latte macchiatto Carrefour sin gluten 250 g.","
 250 G. |
2,72 €/l",,"
0,75 €","
0,68 €",
60,"
Café latte Nescafé Shakissimo 190 ml.","
 190 Ml. |
6,32 €/l","1,20 €",,,
61,"
Café latte cappuccino Nescafé Shakissimo 190 ml.","
 190 Ml. |
6,32 €/l","1,20 €",,,
62,"
Café latte Carrefour intenso sin gluten 250 g.","
 250 G. |
2,72 €/kg",,"
0,75 €","
0,68 €",
63,"
Batido de cacao shake sin azúcar añadido Cola Cao sin gluten 200 ml.","
 200 Ml. |
5,55 €/l","1,11 €",,,
64,"
Café latte macchiatto Carrefour light sin gluten 250 ml.","
 250 Ml. |
3,00 €/l","0,75 €",,,
65,"
Café latte espresso Nescafé Shakissimo 190 ml.","
 190 Ml. |
6,32 €/l","1,20 €",,,
66,"
Batido de cacao shake Nestlé - Nesquik 180 g.","
 180 G. |
6,67 €/l","1,20 €",,,
67,"
Café latte con caramelo Carrefour sin gluten 250 ml.","
 250 Ml. |
3,20 €/l","0,80 €",,,
68,"
Café latte de caramelo Nescafé Shakissimo 190 ml.","
 190 Ml. |
6,63 €/l","1,26 €",,,
69,"
Café con leche Puleva 1 l.","
 1 L. |
1,39 €/l","1,39 €",,,
70,"
Café latte cappuccino Kaiku 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
71,"
Café latte light Kaiku sin lactosa 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
72,"
Café latte de caramelo Starbucks 220 ml.","
 220 Ml. |
7,91 €/l","1,74 €",,,
73,"
Batido de cacao Cola Cao sin gluten 200 ml. ","
 200 Ml. |
5,55 €/l","1,11 €",,,
74,"
Café latte Starbucks 220 ml.","
 220 Ml. |
7,91 €/l","1,74 €",,,
75,"
Café cappuccino Starbucks 220 ml.","
 220 Ml. |
7,91 €/l","1,74 €",,,
76,"
Café descafeinado Nescafé Shakissimo 190 ml.","
 190 Ml. |
6,89 €/l","1,31 €",,,
77,"
Café latte descafeinado Carrefour sin gluten 250 ml.","
 250 Ml. |
3,00 €/l","0,75 €",,,
78,"
Café espresso sabor vainilla Monster 250 ml.","
 250 Ml. |
6,12 €/l","1,53 €",,,
79,"
Batido de nocilla Pascual vaso 200 ml.","
 200 Ml. |
5,90 €/l","1,18 €",,,
80,"
Café latte espresso Kaiku 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
81,"
Café latte con crema macchiato Kaiku 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
82,,,,,,
83,"
Limón ecológico Carrefour Bio 500 g","
 Malla De 500 G. |
3,78 €/kg","1,89 €",,,
84,"
Calabacín ecológico Carrefour Bio 500 g","
 500 G |
3,18 €/kg","1,59 €",,,
85,"
Plátano ecológico Carrefour Bio 1 Kg aprox","
 Envase De  1000.0 G. Aprox |
2,79 €/kg","2,79 €",,,
86,"
Patata ecológica Carrefour Bio 2 Kg","
 2 Kg |
1,50 €/kg","2,99 €",,,
87,"
Cebolla ecológica Carrefour Bio 1 Kg","
 1 Kg |
1,89 €/kg","1,89 €",,,
88,"
Tomate bola ecológico Carrefour Bio 500 g","
 500 G |
3,30 €/kg","1,65 €",,,
89,"
Ajo ecológico Carrefour Bio 3 uds","
 3 Ud |
1,49 €/ud","1,49 €",,,
90,"
Berenjena Carrefour Bio 2 Piezas","
 500 G |
3,98 €/kg","1,99 €",,,
91,"
Pepino ecológico Carrefour Bio 700 g","
 700 G |
2,64 €/kg","1,85 €",,,
92,"
Cogollos de lechuga ecológicos Carrefour Bio 200 g","
 2 Ud |
0,82 €/ud","1,65 €",,,
93,"
Pimiento rojo ecológico Carrefour Bio 400 g","
 400 G |
7,38 €/kg","2,95 €",,,
94,"
Judía verde plana ecológica Carrefour Bio 250 g","
 250 G |
10,36 €/kg","2,59 €",,,
95,"
Puerro ecológico Carrefour Bio 400 g","
 400 G |
7,38 €/kg","2,95 €",,,
96,"
Romero ecológico Carrefour Bio maceta 1 ud","
 Envase De |
1,39 €/ud","1,39 €",,,
97,"
Calabaza troceada ecológica Carrefour Bio 400 g","
 400 G |
5,62 €/kg","2,25 €",,,
98,"
Champiñon Carrefour Bio 300 g aprox","
 Envase De  300.0 G. Aprox |
9,95 €/kg","2,98 €",,,
99,"
Champiñon laminado Carrefour Bio 300 g aprox","
 Envase De  300.0 G. Aprox |
9,95 €/kg","2,98 €",,,
100,"
Calabaza ecológica a granel Carrefour Bio 1 kg aprox","
 1 Kg Aprox 1000.0 G. Aprox |
1,49 €/kg",,"
1,69 €","
1,49 €",
101,"
Naranja ecológica Carrefour Bio 1 Kg","
 Malla De 1 Kg |
2,29 €/kg","2,29 €",,,
102,"
Picada de vacuno ecológico Carrefour Bio 400 g","
 400 G |
9,62 €/kg","3,85 €",,,
103,"
Mejillón fresco ecológico Carrefour Bio 1 kg","
 Malla De |
1,89 €/kg","1,89 €",,,
