,Productos,Precio/Kg,Precios,PrecioPrevio,Ofertas,Promociones
0,"
Bebida de arroz ecológica Carrefour Bio brik 1 l.","
 1 L. |
1,09 €/l","1,09 €",,,
1,"
Bebida de almendra ecológica Carrefour Bio brik 1 l.","
 1 L. |
2,05 €/l","2,05 €",,,
2,"
Bebida de soja con calcio ecológica Carrefour Bio brik 1 l.","
 1 L. |
1,36 €/l","1,36 €",,,
3,"
Bebida de soja sabor chocolate con calcio ecológica Carrefour Bio sin gluten brik 1 l.","
 1 L. |
1,70 €/l","1,70 €",,,
4,"
Horchata de chufa ecológica Carrefour Bio sin gluten brik 1 l.","
 1 L. |
1,82 €/l","1,82 €",,,
5,"
Bebida de avena ecológica Carrefour Bio brik 1 l.","
 1 L. |
1,49 €/l","1,49 €",,,
6,"
Café latte cappuccino Carrefour Bio sin gluten 230 ml.","
 230 Ml. |
4,30 €/l","0,99 €",,,
7,"
Bebida de arroz con almendras ecológica Isola Bio sin gluten brik 250 ml.","
 250 Ml. |
4,48 €/l","1,12 €",,,
8,"
Bebida de soja sin azúcar añadido ecológica Carrefour Bio sin gluten 1 l.","
 1 L. |
1,06 €/l","1,06 €",,,
9,"
Mantequilla ecológica Carrefour Bio 250 g.","
 250 G. |
7,96 €/kg","1,99 €",,,
10,"
Leche semidesnatada ecológica Carrefour Bio sin lactosa brik 1 l.","
 1 L. |
1,18 €/l","1,18 €",,,
11,"
Leche semidesnatada fresca ecológica Carrefour Bio botella 1,5 l.","
 1,5 L. |
1,19 €/l","1,79 €",,,
12,"
Leche entera ecológica Carrefour Bio brik 1 l.","
 1 L. |
0,99 €/l","0,99 €",,,
13,"
Leche semidesnatada ecológica Carrefour Bio brik 1 l.","
 1 L. |
0,99 €/l","0,99 €",,,
14,"
Leche desnatada ecológica Carrefour Bio  brik 1 l.","
 1 L. |
0,99 €/l","0,99 €",,,
15,"
Leche semidesnatada ecológica Celta Bio 1 l.","
 1 L. |
1,15 €/l","1,15 €",,,
16,"
Bebida de arroz y coco sin azúcares añadidos ecológica Isola Bio sin gluten brik 1 l.","
 1 L. |
2,30 €/l","2,30 €",,,
17,"
Bebida de arroz ecológica Isola Bio sin gluten brik 1 l.","
 1 L. |
2,20 €/l","2,20 €",,,
18,"
Bebida de mijo ecológica Isola Bio sin gluten brik 1 l.","
 1 L. |
2,30 €/l","2,30 €",,,
19,"
Bebida de arroz y almendra ecológica Isola Bio sin gluten brik 1 l.","
 1 L. |
2,85 €/l","2,85 €",,,
20,"
Bebida de avena ecológica Costa Eco 1 l.","
 1 L. |
2,10 €/l","2,10 €",,,
21,"
Bebida de arroz ecológica Costa Eco con cacao brik 1 l.","
 1 L. |
2,65 €/l","2,65 €",,,
22,"
Bebida de avena sin azúcares añadidos ecológica YoSoy brik 1 l.","
 1 L. |
1,68 €/l","1,68 €",,,
23,"
Leche entera ecológica Puleva brik 1 l.","
 1 L. |
1,00 €/l",,"
1,29 €","
1,00 €",
24,,,,,,
25,"
Queso tierno en lonchas Carrefour 200 g.","
 200 G. |
6,15 €/kg",,"
1,51 €","
1,23 €",
26,"
Crema de queso de untar natural Philadelphia pack de 2 unidades de 250 g.","
 Pack 2x250 G. |
7,40 €/kg",,"
4,10 €","
3,70 €",2ª al -70%
27,"
Queso fresco original Burgo de Arias pack de 6 unidades de 72 g.","
 6x72 G. |
8,56 €/kg",,"
3,90 €","
3,70 €",3x2
28,"
Queso en lonchas semi Carrefour 200 g.","
 200 G. |
7,85 €/kg",,"
1,85 €","
1,57 €",
29,"
Crema de queso de untar light Philadelphia pack de 2 unidades de 250 g.","
 Pack 2x250 G. |
7,40 €/kg",,"
4,10 €","
3,70 €",2ª al -70%
30,"
Queso en porciones La Vaca que ríe 375 g.","
 375 G. |
7,47 €/kg",,"
3,05 €","
2,80 €",3x2
31,"
Queso havarti en lonchas Arla 150 g.","
 150 G. |
15,93 €/kg","2,39 €",,,5€ dto.
32,"
Mini quesitos Babybel pack de 12 unidades de 20 g.","
 Pack 12x20 G. |
16,50 €/kg",,"
4,14 €","
3,96 €",3x2
33,"
Queso semicurado mezcla ya cortado García Baquero cuña 1/8, 250 g","
 250 G. |
18,00 €/kg","4,50 €",,,3x2
34,"
Queso rallado mozzarella Arla 150 g.","
 150 G. |
16,60 €/kg","2,49 €",,,5€ dto.
35,"
Queso rallado mozzarella y provolone Miraflores 150 g.","
 150 G. |
13,40 €/kg","2,01 €",,,2x1 Acumulación
36,"
Queso fresco 0% materia grasa Burgo de Arias pack de 6 unidades de 72 g.","
 6x72 G. |
8,56 €/kg",,"
3,90 €","
3,70 €",3x2
